,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
15,Ep 20 - Animal Psychology,0.406,0.921,0,-7.045,0,0.724,0.822,0.888,0.162,0.343,82.501,audio_features,2EZhkvHWaY7WdCTWK3gC1l,spotify:track:2EZhkvHWaY7WdCTWK3gC1l,https://api.spotify.com/v1/tracks/2EZhkvHWaY7WdCTWK3gC1l,https://api.spotify.com/v1/audio-analysis/2EZhkvHWaY7WdCTWK3gC1l,59397,4
16,Can I Call You Tonight?,0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,audio_features,61OJxhoY3Ix50rYVKo8zRK,spotify:track:61OJxhoY3Ix50rYVKo8zRK,https://api.spotify.com/v1/tracks/61OJxhoY3Ix50rYVKo8zRK,https://api.spotify.com/v1/audio-analysis/61OJxhoY3Ix50rYVKo8zRK,278769,4
17,Aradhya,0.608,0.73,2,-5.687,1,0.0358,0.642,0.000102,0.0994,0.378,107.962,audio_features,4KwsXvFDCoW7l1cfxhjTdD,spotify:track:4KwsXvFDCoW7l1cfxhjTdD,https://api.spotify.com/v1/tracks/4KwsXvFDCoW7l1cfxhjTdD,https://api.spotify.com/v1/audio-analysis/4KwsXvFDCoW7l1cfxhjTdD,282222,4
18,Scare Me (feat. Karra),0.715,0.879,2,-4.632,0,0.368,0.0166,0.0,0.0968,0.302,134.97,audio_features,6hKi0TR2wj6L9kyTLgfgFz,spotify:track:6hKi0TR2wj6L9kyTLgfgFz,https://api.spotify.com/v1/tracks/6hKi0TR2wj6L9kyTLgfgFz,https://api.spotify.com/v1/audio-analysis/6hKi0TR2wj6L9kyTLgfgFz,142222,4
19,"Teri Hogaiyaan - From ""Broken But Beautiful Season 2""",0.404,0.43,5,-8.313,1,0.0336,0.779,0.000172,0.0941,0.51,106.322,audio_features,1gliuG6cXfZRcQkBIxkX6b,spotify:track:1gliuG6cXfZRcQkBIxkX6b,https://api.spotify.com/v1/tracks/1gliuG6cXfZRcQkBIxkX6b,https://api.spotify.com/v1/audio-analysis/1gliuG6cXfZRcQkBIxkX6b,175875,5
20,Prema O Premaa,0.389,0.591,0,-3.61,0,0.045,0.438,0.000418,0.217,0.32,179.992,audio_features,2oMVPX0asvUfRfap0iEmXv,spotify:track:2oMVPX0asvUfRfap0iEmXv,https://api.spotify.com/v1/tracks/2oMVPX0asvUfRfap0iEmXv,https://api.spotify.com/v1/audio-analysis/2oMVPX0asvUfRfap0iEmXv,270000,4
21,Here Too Far,0.516,0.0971,5,-20.081,1,0.0559,0.974,0.951,0.108,0.46,107.037,audio_features,383MxeoXVw7bdeBKEz68Po,spotify:track:383MxeoXVw7bdeBKEz68Po,https://api.spotify.com/v1/tracks/383MxeoXVw7bdeBKEz68Po,https://api.spotify.com/v1/audio-analysis/383MxeoXVw7bdeBKEz68Po,55213,4
22,Mardy Bum,0.634,0.599,2,-5.447,1,0.0365,0.0288,0.0,0.197,0.312,112.215,audio_features,2fyIS6GXMgUcSv4oejx63f,spotify:track:2fyIS6GXMgUcSv4oejx63f,https://api.spotify.com/v1/tracks/2fyIS6GXMgUcSv4oejx63f,https://api.spotify.com/v1/audio-analysis/2fyIS6GXMgUcSv4oejx63f,175440,4
23,3 Nights,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,audio_features,1tNJrcVe6gwLEiZCtprs1u,spotify:track:1tNJrcVe6gwLEiZCtprs1u,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u,https://api.spotify.com/v1/audio-analysis/1tNJrcVe6gwLEiZCtprs1u,177667,4
24,Main Rang Sharbaton Ka,0.631,0.631,6,-6.934,1,0.0307,0.693,0.0,0.133,0.697,89.975,audio_features,1yYM7dY6wSJFp5qmxPRLu1,spotify:track:1yYM7dY6wSJFp5qmxPRLu1,https://api.spotify.com/v1/tracks/1yYM7dY6wSJFp5qmxPRLu1,https://api.spotify.com/v1/audio-analysis/1yYM7dY6wSJFp5qmxPRLu1,263152,4
25,Aise Kyun,0.395,0.378,3,-9.743,1,0.0443,0.88,0.0879,0.105,0.286,152.204,audio_features,02wf1NAQdIpe5S1NJYPwvB,spotify:track:02wf1NAQdIpe5S1NJYPwvB,https://api.spotify.com/v1/tracks/02wf1NAQdIpe5S1NJYPwvB,https://api.spotify.com/v1/audio-analysis/02wf1NAQdIpe5S1NJYPwvB,329081,4
26,Gulabi Pagg,0.638,0.874,4,-2.941,0,0.115,0.195,0.0,0.308,0.686,80.88,audio_features,35CTzZi7rJLBHvfVZZBrVr,spotify:track:35CTzZi7rJLBHvfVZZBrVr,https://api.spotify.com/v1/tracks/35CTzZi7rJLBHvfVZZBrVr,https://api.spotify.com/v1/audio-analysis/35CTzZi7rJLBHvfVZZBrVr,170882,4
27,Through and Through,0.851,0.424,6,-9.307,1,0.0463,0.383,0.0,0.0843,0.591,94.927,audio_features,1koZU88VDdqvI7ke0rxME6,spotify:track:1koZU88VDdqvI7ke0rxME6,https://api.spotify.com/v1/tracks/1koZU88VDdqvI7ke0rxME6,https://api.spotify.com/v1/audio-analysis/1koZU88VDdqvI7ke0rxME6,113684,4
28,Désolé (feat. Fatoumata Diawara) - Extended Version,0.73,0.688,4,-7.912,0,0.028,0.337,0.229,0.0727,0.861,136.002,audio_features,7rhtPZkcGCWgA3kizGwXwO,spotify:track:7rhtPZkcGCWgA3kizGwXwO,https://api.spotify.com/v1/tracks/7rhtPZkcGCWgA3kizGwXwO,https://api.spotify.com/v1/audio-analysis/7rhtPZkcGCWgA3kizGwXwO,333113,4
