,Unnamed: 0,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,endTime,artistName,trackName,msPlayed
615,273,Overdose (feat. Chris Brown) - KSUKE Remix,0.283,0.818,8,-4.316,1,0.106,0.108,0.0,0.133,0.346,149.29,audio_features,5rJSl7nPluJgq2XLCV4T2Q,spotify:track:5rJSl7nPluJgq2XLCV4T2Q,https://api.spotify.com/v1/tracks/5rJSl7nPluJgq2XLCV4T2Q,https://api.spotify.com/v1/audio-analysis/5rJSl7nPluJgq2XLCV4T2Q,211600,4,2023-11-08 02:42,AGNEZ MO,Overdose (feat. Chris Brown) - KSUKE Remix,17130
616,273,Overdose (feat. Chris Brown) - KSUKE Remix,0.283,0.818,8,-4.316,1,0.106,0.108,0.0,0.133,0.346,149.29,audio_features,5rJSl7nPluJgq2XLCV4T2Q,spotify:track:5rJSl7nPluJgq2XLCV4T2Q,https://api.spotify.com/v1/tracks/5rJSl7nPluJgq2XLCV4T2Q,https://api.spotify.com/v1/audio-analysis/5rJSl7nPluJgq2XLCV4T2Q,211600,4,2023-11-08 18:14,AGNEZ MO,Overdose (feat. Chris Brown) - KSUKE Remix,3604
617,274,Sunflower,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4,2023-12-21 00:27,Sara Farell,Sunflower,181897
618,274,Sunflower,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4,2023-12-22 09:40,Sara Farell,Sunflower,151716
619,275,Take on Me,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4,2023-12-16 07:23,a-ha,Take on Me,25151
620,276,Armor,0.528,0.687,8,-6.268,0,0.0334,0.157,0.0,0.0997,0.312,155.953,audio_features,0o9MIPIGM8svRpfdQGTvUX,spotify:track:0o9MIPIGM8svRpfdQGTvUX,https://api.spotify.com/v1/tracks/0o9MIPIGM8svRpfdQGTvUX,https://api.spotify.com/v1/audio-analysis/0o9MIPIGM8svRpfdQGTvUX,212066,4,2023-12-22 09:36,Landon Austin,Armor,212066
621,276,Armor,0.528,0.687,8,-6.268,0,0.0334,0.157,0.0,0.0997,0.312,155.953,audio_features,0o9MIPIGM8svRpfdQGTvUX,spotify:track:0o9MIPIGM8svRpfdQGTvUX,https://api.spotify.com/v1/tracks/0o9MIPIGM8svRpfdQGTvUX,https://api.spotify.com/v1/audio-analysis/0o9MIPIGM8svRpfdQGTvUX,212066,4,2023-12-28 20:27,Landon Austin,Armor,212066
622,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-11-10 15:13,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",8848274
623,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-11-10 16:43,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",1994272
624,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-11-10 16:44,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",13433
